"clunky";"неуклюжий";;;"What I didn’t like, however, was how c <b>clunky</b> they were.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2x1bmt5e5901117.mp3]";"What I didn’t like, however, was how c {{c1::clunky}} they were.";;"Слова из интернета"
"make friends";"подружиться";;"mˈeɪːk frˈendz";"Can you <b>make friends</b> easily?";"[sound:https://audiocdn.lingualeo.com/v2/1/bWFrZSBmcmllbmRzb6dcb275.mp3]";"Can you {{c1::make friends}} easily?";;"Словарь для среднего уровня (intermediate)"
"about to do";"собираться что-то сделать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/94919.png'>";"əbˈaʊːt tə dˈuː";"Are you <b>about to do</b> it?";"[sound:https://audiocdn.lingualeo.com/v2/1/YWJvdXQgdG8gZG8=406da1b6.mp3]";"Are you {{c1::about to do}} it?";;"Словарь для среднего уровня (intermediate)"
"be used to";"быть привыкшим к чему-либо";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2943143.png'>";"bi jˈuːst tˈuː";"It's up to you to close the office every day at 8 o'clock.<br><b>be used to</b> - be accustomed to		I'm used to hard work.";"[sound:https://audiocdn.lingualeo.com/v2/1/YmUgdXNlZCB0bw==d5ed62d5.mp3]";"It's up to you to close the office every day at 8 o'clock.<br>{{c1::be used to}} - be accustomed to		I'm used to hard work.";;"Словарь для среднего уровня (intermediate)"
"subtracting";"вычитание";;"səbtrˈæktɪŋ";"<b>Subtracting</b> one Array from another in Ruby";"[sound:https://audiocdn.lingualeo.com/v2/1/c3VidHJhY3Rpbmc=693bf3cf.mp3]";"{{c1::Subtracting}} one Array from another in Ruby";;"Слова из интернета"
"too much";"слишком много. слишком много, черезчур";;"tˈuː mˈʌtʃ";"Slack is built with the RTM API, so it’s not going anywhere, but the RTM API usually provides <b>too much</b> data and too many websockets for developers to manage in a pleasant, productive way.";"[sound:https://audiocdn.lingualeo.com/v2/1/dG9vIG11Y2g=17013d63.mp3]";"Slack is built with the RTM API, so it’s not going anywhere, but the RTM API usually provides {{c1::too much}} data and too many websockets for developers to manage in a pleasant, productive way.";;"Слова из интернета"
"be all to";"быть в состоянии";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/YmUgYWxsIHRvf2b8c1e0.mp3]";;;"Мой словарь"
"overwhelming";"Непреодолимый. подавляющий";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1710633.png'>";"əʊːvəwˈelmɪŋ";"When we use the word churn in the JavaScript community we are referring to the <b>overwhelming</b> rate at which JavaScript frameworks and libraries are created, adopted and then abandoned.";"[sound:https://audiocdn.lingualeo.com/v2/1/b3ZlcndoZWxtaW5n289b7fb5.mp3]";"When we use the word churn in the JavaScript community we are referring to the {{c1::overwhelming}} rate at which JavaScript frameworks and libraries are created, adopted and then abandoned.";;"Слова из интернета"
"trapper";"охотник";"<img src='https://contentcdn.lingualeo.com/uploads/picture/295541.png'>";"trˈæpə";"1) create your different items, use <b>trapper</b> as type";"[sound:https://audiocdn.lingualeo.com/v2/1/dHJhcHBlcg==0d5de7ae.mp3]";"1) create your different items, use {{c1::trapper}} as type";;"Слова из интернета"
"opted";"предпочел";;"ˈɒptɪd";"Being the lazy Ops guy who has to configure all of those into the monitoring system, I <b>opted</b> to automate the process so that when new metrics are added to the JSON we use our monitoring system’s API to add the new metrics ";"[sound:https://audiocdn.lingualeo.com/v2/1/b3B0ZWQ=2772502e.mp3]";"Being the lazy Ops guy who has to configure all of those into the monitoring system, I {{c1::opted}} to automate the process so that when new metrics are added to the JSON we use our monitoring system’s API to add the new metrics ";;"Слова из интернета"
"fwiw";"по непроверенным данным";;;"<b>FWIW</b>: I am able to run and debug iOS app using Safari dev tools.";"[sound:https://audiocdn.lingualeo.com/v2/1/Zndpdw==35785dbc.mp3]";"{{c1::FWIW}}: I am able to run and debug iOS app using Safari dev tools.";;"Слова из интернета"
"need for";"необходимость в";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1130720.png'>";;"No <b>need for</b> fancy regexps here since the data is already clean.";"[sound:https://audiocdn.lingualeo.com/v2/1/bmVlZCBmb3I=faa41035.mp3]";"No {{c1::need for}} fancy regexps here since the data is already clean.";;"Слова из интернета"
"add up";"складывать, подытоживать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/283174.png'>";;"These requests all <b>add up</b> and when you query them every minute, like we do, there are concerns about being able to query all the metrics you want to in a 1 minute interval.";"[sound:https://audiocdn.lingualeo.com/v2/1/YWRkIHVw86d55277.mp3]";"These requests all {{c1::add up}} and when you query them every minute, like we do, there are concerns about being able to query all the metrics you want to in a 1 minute interval.";;"Слова из интернета"
"heap allocation";"куче";;;"Typically monitoring methods expose a single metric per request so if I want to observe the current <b>heap allocation</b> I have to make a single request and if I want to observe the number of active threads I have to make another request.";"[sound:https://audiocdn.lingualeo.com/v2/1/aGVhcCBhbGxvY2F0aW9u3d695c86.mp3]";"Typically monitoring methods expose a single metric per request so if I want to observe the current {{c1::heap allocation}} I have to make a single request and if I want to observe the number of active threads I have to make another request.";;"Слова из интернета"
"Kinda sucks";"отстой";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1081739.png'>";;"...but that <b>kinda sucks</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/S2luZGEgc3Vja3M=a0c7cc1c.mp3]";"...but that {{c1::kinda sucks}}.";;"Слова из интернета"
"to leave out";"оставлять без внимания";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1596551.png'>";;"If you want <b>to leave out</b> specific domains (e.g. localhost) you can add more filters to filter these out as well.";"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gbGVhdmUgb3V04c002f2b.mp3]";"If you want {{c1::to leave out}} specific domains (e.g. localhost) you can add more filters to filter these out as well.";;"Слова из интернета"
"vulnerability";"уязвимость";"<img src='https://contentcdn.lingualeo.com/uploads/picture/429108.png'>";"ˌvʌlnərəˈbɪlɪti";"A static analysis security <b>vulnerability</b> scanner for Ruby on Rails applications http://brakemanscanner.org/";"[sound:https://audiocdn.lingualeo.com/v2/1/dnVsbmVyYWJpbGl0eQ==829adaa9.mp3]";"A static analysis security {{c1::vulnerability}} scanner for Ruby on Rails applications http://brakemanscanner.org/";;"Слова из интернета"
"offense";"правонарушение";"<img src='https://contentcdn.lingualeo.com/uploads/picture/322780.png'>";"əˈfɛns";"<b>Offense</b> Count Formatter";"[sound:https://audiocdn.lingualeo.com/v2/1/b2ZmZW5zZQ==e2f31106.mp3]";"{{c1::Offense}} Count Formatter";;"Слова из интернета"
"offended";"обиженный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/272321.png'>";"əfˈendɪd";"With this in mind, you can use the offense count formatter to outline the <b>offended</b> cops and the number of offenses found for each by running:";"[sound:https://audiocdn.lingualeo.com/v2/1/b2ZmZW5kZWQ=8ce6a46d.mp3]";"With this in mind, you can use the offense count formatter to outline the {{c1::offended}} cops and the number of offenses found for each by running:";;"Слова из интернета"
"lay down";"сложить";;"lˈeɪː dˈaʊːn";"I gotta <b>lay down</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/bGF5IGRvd24=981b272c.mp3]";"I gotta {{c1::lay down}}.";;"Слова из интернета"
"Getting stuff";"получение вещи";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/R2V0dGluZyBzdHVmZg==2bf11bcf.mp3]";;;"Мой словарь"
"to value";"ценить";"<img src='https://contentcdn.lingualeo.com/uploads/picture/466594.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gdmFsdWU=9ebb5ec3.mp3]";;;"Мой словарь"
"all over";"повсюду, кругом.во всех отношениях.конец";"<img src='https://contentcdn.lingualeo.com/uploads/picture/71925.png'>";;"Millions of users <b>all over</b> the world share, discover, sell and buy the most beautiful images.";"[sound:https://audiocdn.lingualeo.com/v2/1/YWxsIG92ZXI=ad970b5b.mp3]";"Millions of users {{c1::all over}} the world share, discover, sell and buy the most beautiful images.";;"Слова из интернета"
"prior to joining";"до прихода в";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2654527.png'>";;"<b>Prior to joining</b> 500px, I spent many years as a sysadmin working in the insurance industry.";"[sound:https://audiocdn.lingualeo.com/v2/1/cHJpb3IgdG8gam9pbmluZw==0865cbca.mp3]";"{{c1::Prior to joining}} 500px, I spent many years as a sysadmin working in the insurance industry.";;"Слова из интернета"
"bringing";"приносить";;"ˈbrɪŋɪŋ";"<b>Bringing</b> Data to Life: Realtime Visualizations";"[sound:https://audiocdn.lingualeo.com/v2/1/YnJpbmdpbmc=9502a999.mp3]";"{{c1::Bringing}} Data to Life: Realtime Visualizations";;"Слова из интернета"
"competence";"способность";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1256895.png'>";"kˈɒmpɪtəns";"We’ll also explore illusions of <b>competence</b> in learning, the challenges of overlearning, and the advantages of interleaving.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29tcGV0ZW5jZQ==d1c12901.mp3]";"We’ll also explore illusions of {{c1::competence}} in learning, the challenges of overlearning, and the advantages of interleaving.";;"Слова из интернета"
"endowment";"пожертвование";;"ɪndˈaʊːmənt";"<b>Endowment</b>$1 billion pledged (2015)";"[sound:https://audiocdn.lingualeo.com/v2/1/ZW5kb3dtZW50ed0f10eb.mp3]";"{{c1::Endowment}}$1 billion pledged (2015)";;"Слова из интернета"
"explore";"анализировать. изучать";;"ɪkˈsplɔː";;"[sound:https://audiocdn.lingualeo.com/v2/1/ZXhwbG9yZQ==3232f918.mp3]";;;"Слова из интернета"
"itch";"чесаться";;"ɪtʃ";"An <b>Itch</b> You Can Scratch";"[sound:https://audiocdn.lingualeo.com/v2/1/aXRjaA==b77f8bf5.mp3]";"An {{c1::Itch}} You Can Scratch";;"Слова из интернета"
"interleaving";"чередование";;"ɪntəlˈiːvɪŋ";"We’ll also explore illusions of competence in learning, the challenges of overlearning, and the advantages of <b>interleaving</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/aW50ZXJsZWF2aW5n8a5da331.mp3]";"We’ll also explore illusions of competence in learning, the challenges of overlearning, and the advantages of {{c1::interleaving}}.";;"Слова из интернета"
"overlearning";"заучивание наизусть";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2473146.png'>";;"We’ll also explore illusions of competence in learning, the challenges of <b>overlearning</b>, and the advantages of interleaving.";"[sound:https://audiocdn.lingualeo.com/v2/1/b3ZlcmxlYXJuaW5n70b0c709.mp3]";"We’ll also explore illusions of competence in learning, the challenges of {{c1::overlearning}}, and the advantages of interleaving.";;"Слова из интернета"
"co-chair";"сопредседатель";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1892516.png'>";;"Business magnate Elon Musk, <b>co-chair</b> of OpenAI";"[sound:https://audiocdn.lingualeo.com/v2/1/Y28tY2hhaXI=3ad27463.mp3]";"Business magnate Elon Musk, {{c1::co-chair}} of OpenAI";;"Слова из интернета"
"almost there";"Почти у цели";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1232421.png'>";;"We're <b>almost there</b>!";"[sound:https://audiocdn.lingualeo.com/v2/1/YWxtb3N0IHRoZXJl96b4dc02.mp3]";"We're {{c1::almost there}}!";;"Слова из интернета"
"opens up";"открыться";;;"Although it <b>opens up</b> fine, on doing a commit I get,";"[sound:https://audiocdn.lingualeo.com/v2/1/b3BlbnMgdXA=502f96d0.mp3]";"Although it {{c1::opens up}} fine, on doing a commit I get,";;"Слова из интернета"
"cram";"зубрить";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2161353.png'>";"krˈæm";"It's better to go without sleep and <b>cram</b> what you can into your brain--you can usually rely on short-term adrenaline to help propel you through a test.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y3JhbQ==4eb44899.mp3]";"It's better to go without sleep and {{c1::cram}} what you can into your brain--you can usually rely on short-term adrenaline to help propel you through a test.";;"Слова из интернета"
"rare";"редкий";"<img src='https://contentcdn.lingualeo.com/uploads/picture/167007.png'>";"rɛr";"Procrastination is a <b>rare</b> problem.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmFyZQ==a065356c.mp3]";"Procrastination is a {{c1::rare}} problem.";;"Слова из интернета"
"remarkable";"замечательный. Поразительный";;"rɪˈmɑrkəbəl";"You will read an article about <b>remarkable</b> achievements.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmVtYXJrYWJsZQ==71eeaeff.mp3]";"You will read an article about {{c1::remarkable}} achievements.";;"Слова из интернета"
"shrink";"сокращать. уменьшать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/887704.png'>";"ʃrˈɪŋk";"Amount of disk space used under ~/Library/Containers/com.docker.docker/ should <b>shrink</b> when deleting images and/or containers";"[sound:https://audiocdn.lingualeo.com/v2/1/c2hyaW5rfc574695.mp3]";"Amount of disk space used under ~/Library/Containers/com.docker.docker/ should {{c1::shrink}} when deleting images and/or containers";;"Слова из интернета"
"tackle";"схватить. перехват";"<img src='https://contentcdn.lingualeo.com/uploads/picture/210902.png'>";"ˈtækəl";"The most obvious one and the first one we're going to talk about: read the entire passage, and then <b>tackle</b> the questions";"[sound:https://audiocdn.lingualeo.com/v2/1/dGFja2xl1d4c9000.mp3]";"The most obvious one and the first one we're going to talk about: read the entire passage, and then {{c1::tackle}} the questions";;"Слова из интернета"
"tightly";"крепко. тесно";"<img src='https://contentcdn.lingualeo.com/uploads/picture/314756.png'>";"tˈaɪtli";"Uniform flexibility might seem like an ideal to aim for, but the ground truth is that a more rigid, <b>tightly</b> coupled system is usually a lot simpler to build.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGlnaHRseQ==f18c406e.mp3]";"Uniform flexibility might seem like an ideal to aim for, but the ground truth is that a more rigid, {{c1::tightly}} coupled system is usually a lot simpler to build.";;"Слова из интернета"
"assignments";"задания";;"əˈsaɪnmənts";"Deadline: You must submit this week's <b>assignments</b> by 24 января 2016 г., 11:59 вечера PT.";"[sound:https://audiocdn.lingualeo.com/v2/1/YXNzaWdubWVudHM=480d9619.mp3]";"Deadline: You must submit this week's {{c1::assignments}} by 24 января 2016 г., 11:59 вечера PT.";;"Слова из интернета"
"has been";"было";;"həz bˈiːn";"Sleep <b>has been</b> shown to make a remarkable difference in your ability to figure out difficult problems and to understand what you are trying to learn.";"[sound:https://audiocdn.lingualeo.com/v2/1/aGFzIGJlZW4=17034c19.mp3]";"Sleep {{c1::has been}} shown to make a remarkable difference in your ability to figure out difficult problems and to understand what you are trying to learn.";;"Слова из интернета"
"balm";"утешение";;"bˈɑːm";"- Whether Tempter sent, or whether tempest tossed thee here ashore, Desolate yet all undaunted, on this desert land enchanted - On this home by Horror haunted - tell me truly, I implore - Is there - is there <b>balm</b> in Gilead";"[sound:https://audiocdn.lingualeo.com/v2/1/YmFsbQ==77c602da.mp3]";"- Whether Tempter sent, or whether tempest tossed thee here ashore, Desolate yet all undaunted, on this desert land enchanted - On this home by Horror haunted - tell me truly, I implore - Is there - is there {{c1::balm}} in Gilead";;"Мой словарь"
"bath";"ванна";"<img src='https://contentcdn.lingualeo.com/uploads/picture/12616.png'>";"bæθ";"Is the <b>bath</b> ready?";"[sound:https://audiocdn.lingualeo.com/v2/1/YmF0aA==1a38d52a.mp3]";"Is the {{c1::bath}} ready?";;"Мой словарь"
"cue";"знак";"<img src='https://contentcdn.lingualeo.com/uploads/picture/597143.png'>";"kju";"Carry <b>cue</b> cards with you";"[sound:https://audiocdn.lingualeo.com/v2/1/Y3Vl32ac5f83.mp3]";"Carry {{c1::cue}} cards with you";;"Мой словарь"
"disappear";"исчезать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3268975.png'>";"ˌdɪsəˈpɪr";"Could I appear and <b>disappear</b> like Heurtebise?";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGlzYXBwZWFya00ad501.mp3]";"Could I appear and {{c1::disappear}} like Heurtebise?";;"Мой словарь"
"labor";"труд";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3137278.png'>";"ˈleɪbər";"Cats know how to obtain food without <b>labor</b>, shelter without confinement, and love without penalties";"[sound:https://audiocdn.lingualeo.com/v2/1/bGFib3I=8f720572.mp3]";"Cats know how to obtain food without {{c1::labor}}, shelter without confinement, and love without penalties";;"Мой словарь"
"observe";"наблюдать, следить, замечать, обращать внимание (на что-л.)";"<img src='https://contentcdn.lingualeo.com/uploads/picture/325328.png'>";"əbˈzɜrv";"He bade me <b>observe</b> it, and I should always find that the calamities of life were shared among the upper and lower part of mankind, but that the middle station had the fewest disasters, and was not exposed to so many vicissitudes as the higher or lower par";"[sound:https://audiocdn.lingualeo.com/v2/1/b2JzZXJ2ZQ==28975616.mp3]";"He bade me {{c1::observe}} it, and I should always find that the calamities of life were shared among the upper and lower part of mankind, but that the middle station had the fewest disasters, and was not exposed to so many vicissitudes as the higher or lower par";;"Мой словарь"
"sensation";"ощущение";"<img src='https://contentcdn.lingualeo.com/uploads/picture/16094.png'>";"sɛnsˈeɪːʃən";"This <b>sensation</b> that emanated nothing, but was so clear?";"[sound:https://audiocdn.lingualeo.com/v2/1/c2Vuc2F0aW9ue0611382.mp3]";"This {{c1::sensation}} that emanated nothing, but was so clear?";;"Мой словарь"
"shy";"застенчивый";"<img src='https://contentcdn.lingualeo.com/uploads/picture/16047.png'>";"ʃaɪ";"Aren't you the <b>shy</b> one!";"[sound:https://audiocdn.lingualeo.com/v2/1/c2h5488f0d72.mp3]";"Aren't you the {{c1::shy}} one!";;"Мой словарь"
"tapestry";"гобелен";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2294551.png'>";"tˈæpɪstri";"And this is Beverly painted in a psychedelic <b>tapestry</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGFwZXN0cnk=cc8458b3.mp3]";"And this is Beverly painted in a psychedelic {{c1::tapestry}}.";;"Мой словарь"
"unconscious";"бессознательный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3262080.png'>";"ˌʌnˈkɑnʃəs";"-You've got an <b>unconscious</b> death wish.";"[sound:https://audiocdn.lingualeo.com/v2/1/dW5jb25zY2lvdXM=b9f8b932.mp3]";"-You've got an {{c1::unconscious}} death wish.";;"Мой словарь"
"wilt";"вянуть";"<img src='https://contentcdn.lingualeo.com/uploads/picture/4585.png'>";"wˈɪlt";"Are you the carrot that seems hard but with the smallest amount of pain, adversity or heat, you <b>wilt</b> and become soft with no strength?";"[sound:https://audiocdn.lingualeo.com/v2/1/d2lsdA==f0fe668b.mp3]";"Are you the carrot that seems hard but with the smallest amount of pain, adversity or heat, you {{c1::wilt}} and become soft with no strength?";;"Мой словарь"
"unease";"беспокойство";"<img src='https://contentcdn.lingualeo.com/uploads/picture/9531.png'>";"ʌnˈiːz";"It's more like a feeling of <b>unease</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/dW5lYXNl898098db.mp3]";"It's more like a feeling of {{c1::unease}}.";;"Мой словарь"
"happens";"случилось";"<img src='https://contentcdn.lingualeo.com/uploads/picture/136746.png'>";"ˈhæpənz";"Whatever <b>happens</b>, I'll leave it all to chance";"[sound:https://audiocdn.lingualeo.com/v2/1/aGFwcGVucw==2d6a531e.mp3]";"Whatever {{c1::happens}}, I'll leave it all to chance";;"Мой словарь"
"raises";"поднимает";"<img src='https://contentcdn.lingualeo.com/uploads/picture/352668.png'>";"ˈreɪzəz";" Ozil throws the ball in, it reaches his teammate a long pass to forward but the linesman <b>raises</b> the flag, indicating offside";"[sound:https://audiocdn.lingualeo.com/v2/1/cmFpc2Vz436f715a.mp3]";" Ozil throws the ball in, it reaches his teammate a long pass to forward but the linesman {{c1::raises}} the flag, indicating offside";;"Мой словарь"
"arises";"возникать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1817653.png'>";"ərˈaɪzɪz";" Firstly (введение темы), they both have a very multicultural population so it is possible to enjoy food from your own country when homesickness <b>arises</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/YXJpc2Vz47fef881.mp3]";" Firstly (введение темы), they both have a very multicultural population so it is possible to enjoy food from your own country when homesickness {{c1::arises}}";;"Мой словарь"
"mindlessly";"бездумно";;"mˈaɪndlɪsli";"So rather than be just another mindless religious robot, <b>mindlessly</b> and aimlessly and blindly believing that all of this is in the hands of some spooky incompetent father figure who doesn't give a shit, I decided to look around for...";"[sound:https://audiocdn.lingualeo.com/v2/1/bWluZGxlc3NseQ==88f1318e.mp3]";"So rather than be just another mindless religious robot, {{c1::mindlessly}} and aimlessly and blindly believing that all of this is in the hands of some spooky incompetent father figure who doesn't give a shit, I decided to look around for...";;"Мой словарь"
"dissapear";"исчезать";;"dˈɪsəpər";"I <b>dissapear</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGlzc2FwZWFy7bba1508.mp3]";"I {{c1::dissapear}}";;"Мой словарь"
"putty-like";"пластилиновый";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1918183.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/cHV0dHktbGlrZQ==e6699d28.mp3]";;;"Мой словарь"
"sort out";"решить (какую-то проблему), разбираться";;"sˈɔːt ˈaʊːt";"But here's the rub: How do we <b>sort out</b> the liars?";"[sound:https://audiocdn.lingualeo.com/v2/1/c29ydCBvdXQ=1e9c9017.mp3]";"But here's the rub: How do we {{c1::sort out}} the liars?";;"Мой словарь"
"working out";"тренировка";;"wˈɜːkɪŋ ˈaʊːt";"2nd guy: Trust me he can. He has been <b>working out</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/d29ya2luZyBvdXQ=a3ed9e90.mp3]";"2nd guy: Trust me he can. He has been {{c1::working out}}.";;"Мой словарь"
"coming off";"соскочить, отделаться";;"kˈʌmɪŋ ˈɒf";"- How crazy am I <b>coming off</b> here?  - Only a little.  ";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29taW5nIG9mZg==0e5e7913.mp3]";"- How crazy am I {{c1::coming off}} here?  - Only a little.  ";;"Мой словарь"
"so even";"так что даже";;"səʊː w̆ˈiːvn̩";"Seems as though that idea makes sense, and <b>so even</b> if we agreed that the soul was simple, even if we granted everything in Plato's argument up to this point and said, ""the soul really is simple,"" it still wouldn't follow that it's immortal.";"[sound:https://audiocdn.lingualeo.com/v2/1/c28gZXZlbg==2d0da43c.mp3]";"Seems as though that idea makes sense, and {{c1::so even}} if we agreed that the soul was simple, even if we granted everything in Plato's argument up to this point and said, ""the soul really is simple,"" it still wouldn't follow that it's immortal.";;"Мой словарь"
"address it";"ее решения";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/YWRkcmVzcyBpdA==8257238e.mp3]";;;"Мой словарь"
"turn toward";"повернуться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2151896.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dHVybiB0b3dhcmQ=60a64d02.mp3]";;;"Мой словарь"
"it seems";"кажется";"<img src='https://contentcdn.lingualeo.com/uploads/picture/106893.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/aXQgc2VlbXM=abbe5b42.mp3]";;;"Мой словарь"
"naturally enough";"вполне естественно";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2849154.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/bmF0dXJhbGx5IGVub3VnaA==53a4e3db.mp3]";;;"Мой словарь"
"something like";"что-то вроде";"<img src='https://contentcdn.lingualeo.com/uploads/picture/843525.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/c29tZXRoaW5nIGxpa2U=85d4bfc1.mp3]";;;"Мой словарь"
"resting state";"в состоянии покоя";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2677881.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/cmVzdGluZyBzdGF0ZQ==56775c28.mp3]";;;"Мой словарь"
"near the limit";"вблизи предела";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/bmVhciB0aGUgbGltaXQ=bab46379.mp3]";;;"Мой словарь"
"look at something";"рассматривать, обдумывать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2723980.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/bG9vayBhdCBzb21ldGhpbmc=a7a5deb1.mp3]";;;"Мой словарь"
"not long after";"вскоре после этого, немного спустя";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1511108.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/bm90IGxvbmcgYWZ0ZXI=2eab9290.mp3]";;;"Мой словарь"
"on the top";"наверху";"<img src='https://contentcdn.lingualeo.com/uploads/picture/231567.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/b24gdGhlIHRvcA==5fbfced5.mp3]";;;"Мой словарь"
"get a cue";"получить сигнал";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2391762.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/Z2V0IGEgY3Vld079416f.mp3]";;;"Мой словарь"
"in the mean";"в среднем";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/aW4gdGhlIG1lYW4=f9b57d83.mp3]";;;"Мой словарь"
"sleeve of care";"клубок забот";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/c2xlZXZlIG9mIGNhcmU=0bfd2b48.mp3]";;;"Мой словарь"
"mimic";"имитировать";;"mˈɪmɪk";"Now you understand why we said mixins could give us the ability to <b>mimic</b> inheriting from more than one class: by mixing in traits from various modules as needed, we can add any combination of behaviors to our classes we like!";"[sound:https://audiocdn.lingualeo.com/v2/1/bWltaWM=db883564.mp3]";"Now you understand why we said mixins could give us the ability to {{c1::mimic}} inheriting from more than one class: by mixing in traits from various modules as needed, we can add any combination of behaviors to our classes we like!";;"Слова из интернета"
"supposed";"предполагаемый";"<img src='https://contentcdn.lingualeo.com/uploads/picture/256771.png'>";"səˈpoʊzd";"There's a difference indeed. https://github.com/inossidabile/wash_out/blob/master/lib/wash_out/router.rb#L50 <- this piece of code is <b>supposed</b> to handle that.";"[sound:https://audiocdn.lingualeo.com/v2/1/c3VwcG9zZWQ=7fa4e2f2.mp3]";"There's a difference indeed. https://github.com/inossidabile/wash_out/blob/master/lib/wash_out/router.rb#L50 <- this piece of code is {{c1::supposed}} to handle that.";;"Слова из интернета"
"whereas";"тогда как. тогда как. несмотря на то, что. принимая во внимание, поскольку";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3250847.png'>";"wɛˈræz";"requestAnimationFrame(fn) is not the same as setTimeout(fn, 0) - the former will fire after all the frame has flushed, <b>whereas</b> the latter will fire as quickly as possible (over 1000x per second on a iPhone 5S).";"[sound:https://audiocdn.lingualeo.com/v2/1/d2hlcmVhcw==5f1adcbb.mp3]";"requestAnimationFrame(fn) is not the same as setTimeout(fn, 0) - the former will fire after all the frame has flushed, {{c1::whereas}} the latter will fire as quickly as possible (over 1000x per second on a iPhone 5S).";;"Слова из интернета"
"withdrawal";"вывод";;"wɪðˈdrɔəl";"Making a <b>Withdrawal</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/d2l0aGRyYXdhbA==e019cba3.mp3]";"Making a {{c1::Withdrawal}}";;"Слова из интернета"
"fulfilled";"Выполненный";;"fʊlfˈɪld";"that your goal is realistic (because it will already be <b>fulfilled</b>) and";"[sound:https://audiocdn.lingualeo.com/v2/1/ZnVsZmlsbGVk050553a1.mp3]";"that your goal is realistic (because it will already be {{c1::fulfilled}}) and";;"Слова из интернета"
"caught out";"пойман";;"kˈɔːt ˈaʊːt";"I have been <b>caught out</b> by that code on at least three separate occasions.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2F1Z2h0IG91dA==f9662903.mp3]";"I have been {{c1::caught out}} by that code on at least three separate occasions.";;"Слова из интернета"
